qid,hsms,num_students_w2,num_students_w3
MDR_00607139,1,339,334
MDR_04912194,2,338,333
MDR_00308644,1,337,335
MDR_04926030,2,336,334
MDR_01001526,1,328,352
MDR_00563466,1,321,332
MDR_00505892,1,320,317
MDR_00817645,1,320,294
MDR_02893114,1,320,330
MDR_00565581,1,315,326
MDR_00816811,1,315,315
MDR_01400025,1,315,319
MDR_00129656,1,310,288
MDR_01834581,1,310,274
MDR_12371328,2,310,315
MDR_00418469,1,307,319
MDR_00380317,2,305,320
MDR_00533289,1,305,302
MDR_10015205,2,305,300
MDR_12312762,2,303,285
MDR_00983543,1,301,312
MDR_04874671,1,301,296
MDR_00080919,1,300,300
MDR_00300680,2,300,300
MDR_00564848,1,298,305
MDR_00975390,1,296,297
MDR_00458378,1,295,297
MDR_00693243,1,295,297
MDR_00191489,1,294,302
MDR_00355673,1,294,295
MDR_00350128,1,293,293
MDR_00398041,2,292,300
MDR_00508636,2,290,287
MDR_00944406,1,289,289
1.74E+11,3,286,300
MDR_05378357,1,286,255
MDR_03247001,1,285,320
MDR_00324961,1,281,280
MDR_00346294,2,281,308
MDR_00425412,2,281,300
2.92E+11,2,280,280
3.01E+11,2,279,275
MDR_00693920,1,277,278
MDR_00821672,2,264,267
MDR_04947216,1,263,269
MDR_01547465,2,261,268
MDR_00509678,1,259,240
MDR_00412855,1,258,258
MDR_00038667,1,256,288
MDR_00055938,2,251,232
MDR_00486480,2,246,250
MDR_00873247,1,246,247
MDR_00468660,1,244,249
MDR_01081514,1,243,248
MDR_12366799,1,243,242
MDR_00573708,3,240,240
3.10E+11,1,239,238
MDR_11449312,3,235,229
MDR_11819901,2,228,214
MDR_01113765,3,226,245
MDR_00403127,1,221,215
MDR_02892160,1,220,223
MDR_02225830,3,219,198
MDR_00123298,3,215,220
MDR_00605076,2,211,210
MDR_00290683,1,210,208
MDR_00385628,1,210,220
MDR_01149623,1,210,212
MDR_00485694,1,209,205
MDR_01148318,1,207,210
MDR_01097410,1,204,220
MDR_00375922,2,201,195
MDR_11832771,1,200,198
MDR_11453002,2,199,199
1.70E+11,1,197,180
MDR_12318455,1,195,200
MDR_00629046,1,194,178
MDR_05277193,2,191,189
MDR_12367640,3,186,223
MDR_00729828,1,185,186
MDR_10026474,3,185,171
MDR_00000244,1,184,186
MDR_00297289,3,176,160
MDR_00650693,1,176,179
MDR_12378912,2,175,180
MDR_01021772,2,173,178
MDR_00172122,1,165,166
MDR_04813378,1,165,170
MDR_04917716,3,162,158
69102612986,3,160,180
1.91E+11,1,157,135
MDR_00311031,1,144,140
MDR_00403062,1,143,145
MDR_00155758,1,142,140
MDR_01808271,1,138,145
MDR_01006734,2,136,135
MDR_12232502,2,134,120
MDR_02094899,1,133,140
MDR_11923875,2,131,106
MDR_00487537,1,122,142
MDR_00018277,2,120,115
MDR_00045593,1,118,119
MDR_01064176,3,111,119
MDR_11451169,3,110,112
MDR_00136415,2,108,110
MDR_00037998,3,90,82
MDR_11717315,2,87,86
MDR_05009269,3,80,80
MDR_10805098,3,80,80
3.80E+11,1,75,80
MDR_04466767,3,72,80
MDR_00769622,1,55,55
MDR_03235905,1,53,55
